date,open,high,low,close,volume
18/8/2021,146.371,147.27,142.805,143.01,84350163
19/8/2021,141.71,144.613,141.193,143.342,84969935
20/8/2021,144.065,145.101,143.421,144.798,59163730
23/8/2021,144.915,146.752,144.505,146.283,58755488
24/8/2021,146.029,147.407,145.736,146.195,47493898
25/8/2021,146.381,146.879,144.417,144.964,57641093
26/8/2021,144.955,145.707,144.134,144.163,47484906
27/8/2021,144.104,145.345,143.469,145.199,54525178
30/8/2021,145.59,149.977,145.209,149.615,88874889
31/8/2021,149.166,149.303,147.827,148.355,84474353
1/9/2021,149.332,151.433,148.853,149.019,78475453
2/9/2021,150.348,151.179,148.912,150.133,69487781
3/9/2021,150.241,151.091,149.586,150.768,56485544
7/9/2021,151.423,153.661,150.856,153.104,80395073
8/9/2021,153.387,153.446,150.456,151.56,72716850
9/9/2021,151.931,152.537,150.426,150.544,55994070
10/9/2021,151.452,151.921,145.296,145.56,137668366
13/9/2021,147.182,147.954,145.345,146.127,100060471
14/9/2021,146.909,147.612,143.548,144.73,106794705
15/9/2021,145.16,146.02,143.02,145.619,81375157
16/9/2021,145.042,145.56,143.85,145.385,66476938
17/9/2021,145.414,145.414,142.424,142.717,126896293
20/9/2021,140.509,141.525,138.037,139.668,120652724
21/9/2021,140.636,141.29,139.512,140.147,74098272
22/9/2021,141.144,143.079,140.411,142.512,74655566
23/9/2021,143.293,143.714,142.307,143.469,63354159
24/9/2021,142.326,144.095,142.228,143.557,52253900
27/9/2021,142.14,142.619,140.528,142.043,72453502
28/9/2021,139.971,141.437,138.447,138.662,106478093
29/9/2021,139.209,141.144,138.779,139.561,72894506
30/9/2021,140.372,141.075,138.046,138.261,87018340
1/10/2021,138.652,139.649,135.926,139.385,92473471
